id	filename	md5	size	state
9757633f-05e0-45cf-9ad4-898bb8334028	TCGA-28-2499-01A-01-TS1.008e71c4-607d-4dbf-8f23-37c2f756be5a.svs	ecff1e654c15ca97153d77bc810345db	28881803	live
e5f9090e-8640-453d-9ad1-136625799c6a	TCGA-16-1056-01B-01-TS1.22aa17db-9090-40c2-a387-998057f682f6.svs	2fa3572f841ac1ca2483026631d03770	87148599	live
39187aaf-027e-4bc8-8583-faadf1965f5c	TCGA-19-5951-01A-01-TS1.7574ac20-334c-4ca5-b803-7da933327f0d.svs	c96feaf464fb5b94fb8c3e585ef255ef	50528445	live
8258e3da-2f07-4bac-9929-51b7b6a294a7	TCGA-08-0349-01A-01-BS1.afac8825-e1c6-443e-adc2-6bbb255796cd.svs	e5a5291bd082a7029e5b5dd60624800d	102303279	live
b4aa115e-69eb-4144-8661-d36c36aa8763	TCGA-06-0650-01A-02-BS2.ee5a3a44-316f-4deb-871d-b06edb8f3096.svs	b3a04ab906b314e0892ef28fb843d8eb	146618659	live
9b215fc4-a35f-4777-bd9f-089e22db4449	TCGA-08-0353-01A-01-BS1.9da71163-1176-4ccd-8ecc-173f3b93bd61.svs	86a4a3e3719812dd1ca398f8896d6df4	62675047	live
a22b34ab-a681-40e4-b085-0b1ad15adb78	TCGA-02-0021-01A-01-BS1.fa85bc28-b7d4-41c9-a840-568353e0edd6.svs	e7ad748b7ef0854f4bd895e755ccccdb	389807119	live
9cb8cd64-34d2-4609-9105-08b9fdba7d00	TCGA-12-0819-01A-01-TS1.f94b9687-a5b8-4390-bd23-c913769e45be.svs	7a0190152eb57482d2c2561a8c1d9f71	242282599	live
a11ef984-9356-416f-8111-d474d324be1f	TCGA-12-1597-01B-01-BS1.8f79390b-43e6-4209-85b2-99b98a0272be.svs	202c9bef2ad89ba3f90df65ae7d1fa58	223118611	live
154bd5a6-7c12-4350-889e-3e7cae888cb0	TCGA-27-2528-01A-01-TS1.9fa645ed-b736-4b3f-8ef8-641fc1cb620d.svs	29ae1522555c3b8f39b4bbd456b391f3	231454725	live
